Position P,Velocity P,Frequency (Hz),Velocity Cutoff (Hz),Battery,Battery Voltage,Temperature,Start Angle,Shoot Angle,Velocity,Acceleration,Distance (m),Max Height (m),Trajectory Points,Timestamp,Trajectory Data
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.4,,91,2025-05-25 20:58:26,"[[24, 322], [24, 322], [24, 322], [24, 323], [24, 322], [24, 322], [24, 322], [24, 322], [23, 322], [24, 322], [24, 323], [24, 323], [25, 322], [24, 318], [29, 308], [35, 298], [47, 287], [57, 275], [68, 264], [78, 255], [86, 247], [99, 238], [108, 231], [118, 224], [138, 212], [147, 207], [156, 203], [177, 195], [186, 192], [195, 191], [204, 190], [213, 189], [222, 189], [231, 190], [240, 192], [249, 194], [259, 195], [268, 198], [277, 201], [285, 204], [303, 214], [311, 219], [320, 226], [328, 232], [337, 239], [346, 247], [354, 255], [403, 314], [412, 326], [420, 338], [425, 334], [435, 314], [439, 305], [444, 297], [449, 289], [454, 282], [459, 275], [468, 265], [473, 261], [476, 257], [481, 253], [487, 250], [491, 248], [495, 246], [501, 245], [506, 244], [509, 245], [519, 246], [523, 248], [527, 250], [530, 253], [535, 256], [540, 260], [545, 264], [549, 269], [554, 274], [565, 294], [570, 301], [573, 308], [579, 317], [587, 335], [595, 322], [599, 315], [603, 308], [607, 301], [612, 296], [616, 291], [621, 287], [625, 283], [628, 280], [633, 276]]"
15,60,1000,500,dog ,25.0,Medium,0.0,40.1070456,150.0,3500,6.2,,57,2025-05-25 20:59:11,"[[23, 323], [22, 323], [23, 323], [23, 323], [22, 323], [22, 323], [23, 323], [22, 323], [22, 323], [23, 323], [22, 323], [22, 323], [22, 323], [22, 323], [22, 323], [23, 323], [23, 322], [22, 323], [22, 322], [24, 316], [31, 307], [40, 294], [51, 283], [62, 272], [74, 263], [82, 254], [122, 223], [132, 217], [143, 212], [153, 207], [163, 205], [173, 201], [182, 198], [192, 196], [200, 195], [210, 194], [219, 194], [228, 195], [237, 196], [246, 198], [255, 200], [264, 202], [273, 205], [282, 209], [290, 214], [299, 219], [326, 236], [342, 251], [350, 259], [377, 287], [386, 298], [392, 308], [398, 318], [415, 339], [420, 330], [429, 310], [438, 293]]"
15,60,1000,500,dog ,24.6,Medium,0.0,40.1070456,150.0,3500,6.45,,70,2025-05-25 21:02:01,"[[21, 322], [20, 322], [20, 323], [19, 323], [21, 322], [21, 323], [21, 323], [22, 323], [23, 323], [23, 322], [21, 323], [22, 322], [22, 322], [20, 323], [21, 323], [22, 322], [22, 322], [21, 323], [22, 322], [22, 323], [21, 323], [22, 323], [22, 323], [22, 323], [22, 322], [21, 323], [20, 323], [22, 323], [22, 323], [20, 323], [21, 323], [22, 322], [21, 323], [22, 323], [22, 323], [22, 323], [21, 322], [21, 323], [22, 322], [20, 323], [20, 323], [22, 323], [21, 323], [22, 323], [20, 322], [22, 315], [29, 305], [38, 294], [61, 271], [74, 261], [83, 254], [93, 246], [105, 239], [115, 233], [124, 226], [133, 219], [154, 211], [164, 208], [174, 205], [183, 204], [191, 201], [201, 200], [210, 200], [219, 199], [228, 199], [256, 203], [266, 206], [284, 213], [418, 335], [423, 323]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.5,,90,2025-05-25 21:13:57,"[[24, 321], [23, 321], [24, 321], [24, 321], [24, 321], [23, 322], [24, 321], [23, 321], [24, 321], [24, 321], [24, 321], [24, 321], [23, 321], [23, 321], [24, 321], [24, 321], [24, 321], [23, 321], [24, 321], [24, 321], [22, 321], [24, 321], [24, 322], [25, 321], [24, 321], [23, 321], [24, 321], [23, 321], [23, 321], [24, 321], [24, 321], [24, 321], [23, 321], [23, 321], [25, 321], [24, 321], [24, 321], [24, 322], [25, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 321], [24, 322], [23, 321], [24, 322], [23, 321], [24, 321], [24, 322], [23, 321], [24, 321], [23, 321], [24, 321], [24, 321], [24, 321], [24, 321], [25, 321], [24, 321], [24, 322], [24, 321], [23, 322], [23, 321], [24, 321], [23, 321], [25, 321], [24, 321], [24, 321], [24, 321], [25, 312], [33, 301], [44, 290], [55, 279], [67, 268], [77, 259], [85, 251], [107, 236], [116, 229], [126, 222], [401, 307], [407, 314], [415, 326], [425, 339], [489, 256], [500, 248], [529, 243]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.83,,82,2025-05-25 23:13:22,"[[33, 320], [32, 321], [33, 320], [32, 321], [33, 320], [33, 321], [32, 321], [32, 320], [32, 320], [32, 320], [33, 320], [32, 321], [33, 320], [33, 320], [32, 320], [33, 317], [36, 309], [46, 297], [57, 286], [69, 277], [80, 267], [94, 257], [103, 250], [126, 235], [136, 230], [148, 223], [158, 218], [169, 214], [179, 210], [200, 204], [211, 202], [222, 200], [232, 199], [243, 199], [254, 199], [265, 201], [275, 202], [286, 205], [307, 211], [317, 215], [327, 220], [338, 226], [348, 232], [357, 238], [368, 246], [378, 253], [388, 262], [397, 271], [406, 280], [414, 289], [424, 300], [435, 311], [441, 321], [452, 333], [460, 343], [467, 333], [473, 323], [485, 306], [491, 298], [496, 291], [502, 283], [508, 277], [513, 271], [520, 267], [527, 264], [530, 260], [536, 256], [541, 254], [547, 252], [553, 251], [565, 251], [570, 251], [576, 252], [582, 254], [588, 256], [595, 260], [599, 264], [602, 267], [609, 271], [614, 276], [621, 281], [464, 121]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.9,,90,2025-05-25 23:14:09,"[[32, 320], [32, 320], [32, 320], [31, 320], [32, 320], [31, 320], [31, 320], [31, 320], [32, 320], [31, 320], [32, 320], [32, 320], [31, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 320], [32, 314], [50, 291], [62, 280], [75, 270], [90, 261], [109, 246], [121, 238], [133, 231], [144, 225], [155, 220], [167, 216], [177, 213], [188, 209], [198, 205], [208, 202], [220, 201], [230, 200], [242, 200], [253, 200], [264, 200], [286, 203], [382, 251], [393, 261], [401, 268], [411, 276], [421, 286], [433, 298], [441, 306], [449, 317], [461, 329], [479, 340], [486, 330], [497, 312], [503, 303], [510, 296], [516, 288], [523, 281], [531, 272], [532, 271], [534, 271], [538, 272], [542, 275], [554, 285], [556, 285], [555, 285], [554, 285], [554, 286], [556, 285], [555, 285], [552, 281], [552, 280], [553, 280], [553, 280], [553, 279], [553, 280], [554, 285], [553, 287], [553, 289], [553, 294], [552, 299], [553, 304], [553, 310], [553, 315], [554, 320], [552, 330]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.6,,91,2025-05-25 23:14:52,"[[33, 320], [33, 320], [32, 320], [33, 320], [33, 320], [34, 320], [33, 320], [33, 320], [33, 320], [32, 320], [33, 320], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 321], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [32, 320], [34, 315], [39, 305], [51, 293], [62, 282], [73, 272], [85, 263], [98, 253], [106, 246], [118, 238], [129, 232], [140, 226], [150, 220], [170, 211], [181, 208], [192, 205], [202, 202], [213, 200], [223, 200], [233, 199], [243, 200], [253, 201], [263, 200], [274, 202], [283, 205], [294, 208], [304, 211], [314, 216], [362, 246], [372, 253], [381, 263], [390, 272], [398, 280], [408, 290], [417, 301], [425, 312], [451, 342], [456, 332], [463, 322], [468, 313], [474, 305], [479, 297], [485, 290], [490, 284], [500, 275], [505, 273], [510, 270], [515, 267], [520, 266], [526, 265], [530, 264], [535, 264], [541, 265], [545, 266], [550, 268], [555, 270]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.7,,82,2025-05-25 23:15:44,"[[33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [33, 320], [34, 314], [40, 303], [52, 292], [76, 271], [89, 263], [99, 253], [108, 246], [122, 239], [133, 232], [155, 221], [165, 216], [176, 213], [187, 209], [198, 207], [229, 199], [240, 198], [262, 201], [273, 203], [283, 206], [294, 209], [304, 212], [315, 216], [325, 221], [334, 226], [344, 233], [355, 238], [363, 245], [374, 253], [385, 262], [393, 270], [402, 278], [411, 288], [421, 299], [433, 311], [451, 332], [460, 344], [465, 335], [473, 326], [479, 317], [484, 309], [491, 301], [496, 293], [503, 286], [509, 280], [515, 275], [523, 270], [527, 267], [533, 263], [539, 260], [544, 258], [557, 255], [563, 255], [569, 255], [575, 256], [582, 256], [588, 258], [598, 266], [603, 269], [611, 273], [616, 277], [624, 283]]"
15,60,1000,500,dog,24.5,Medium,0.0,40.1070456,150.0,3500,6.6,,71,2025-05-25 23:16:40,"[[33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [33, 320], [33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 316], [40, 306], [50, 293], [61, 282], [73, 272], [84, 262], [96, 254], [105, 246], [114, 238], [135, 223], [146, 218], [207, 194], [218, 193], [228, 192], [238, 192], [290, 200], [300, 203], [389, 265], [397, 274], [406, 285], [414, 294], [422, 304], [431, 316], [442, 329], [449, 340], [455, 341], [461, 330], [465, 320], [471, 311], [476, 302]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,72,2025-05-25 23:22:22,"[[33, 321], [34, 321], [33, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [34, 321], [34, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 321], [33, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 322], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 322], [34, 321], [34, 321], [34, 321], [34, 321], [34, 321], [33, 321], [34, 321], [33, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 321], [34, 320], [35, 315], [96, 254], [390, 269], [397, 279], [405, 286], [414, 297], [423, 307], [438, 330]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.65,,29,2025-05-25 23:23:02,"[[30, 321], [29, 321], [30, 321], [28, 322], [29, 321], [31, 321], [30, 321], [31, 321], [28, 322], [30, 321], [30, 321], [31, 320], [32, 320], [28, 321], [31, 320], [32, 320], [30, 320], [30, 320], [31, 321], [29, 323], [30, 321], [30, 321], [82, 266], [95, 257], [105, 251], [115, 243], [393, 278], [403, 287], [410, 295]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,34,2025-05-25 23:23:46,"[[29, 322], [29, 322], [29, 322], [29, 322], [29, 322], [29, 322], [30, 321], [29, 322], [31, 321], [29, 322], [29, 322], [29, 322], [29, 322], [30, 321], [98, 248], [107, 241], [116, 235], [128, 229], [139, 222], [150, 217], [161, 213], [171, 209], [193, 203], [203, 201], [213, 199], [223, 198], [233, 198], [392, 267], [398, 275], [407, 283], [416, 295], [428, 308], [434, 316], [471, 307]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,80,2025-05-25 23:24:24,"[[30, 321], [30, 321], [30, 320], [31, 320], [30, 321], [31, 321], [31, 320], [29, 322], [29, 322], [31, 320], [31, 320], [31, 321], [31, 321], [30, 322], [30, 320], [31, 320], [30, 321], [30, 320], [30, 320], [31, 320], [31, 321], [30, 321], [30, 321], [30, 320], [31, 321], [30, 321], [30, 321], [30, 321], [31, 321], [30, 320], [30, 321], [30, 321], [31, 320], [31, 320], [30, 321], [30, 322], [30, 320], [30, 321], [31, 320], [30, 321], [30, 321], [31, 321], [31, 321], [30, 320], [31, 321], [30, 320], [31, 320], [31, 320], [29, 322], [30, 321], [30, 320], [31, 321], [30, 321], [31, 321], [30, 320], [61, 280], [85, 261], [98, 251], [106, 245], [118, 237], [129, 231], [140, 225], [150, 219], [161, 215], [171, 211], [182, 208], [193, 205], [203, 202], [224, 201], [234, 201], [243, 202], [362, 247], [370, 255], [380, 265], [391, 274], [399, 282], [407, 291], [426, 315], [435, 327], [443, 339]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,46,2025-05-25 23:25:05,"[[34, 321], [33, 321], [33, 321], [33, 321], [34, 321], [33, 321], [33, 321], [33, 321], [34, 321], [32, 321], [34, 321], [34, 321], [33, 321], [33, 321], [33, 321], [34, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [34, 321], [33, 321], [34, 321], [34, 321], [33, 321], [33, 321], [33, 321], [33, 320], [34, 316], [41, 305], [95, 258], [102, 250], [236, 197], [246, 198], [256, 200], [266, 202], [286, 208], [384, 267], [393, 277], [401, 284], [411, 294], [424, 308], [430, 314], [440, 327], [450, 341]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.4,,42,2025-05-25 23:25:43,"[[34, 320], [34, 320], [33, 320], [34, 320], [34, 320], [34, 320], [34, 320], [34, 320], [35, 320], [35, 320], [34, 320], [34, 320], [34, 320], [34, 320], [33, 320], [34, 320], [34, 320], [34, 320], [35, 314], [40, 304], [52, 292], [63, 281], [74, 271], [85, 262], [98, 253], [105, 247], [117, 239], [128, 232], [389, 286], [395, 295], [404, 306], [412, 316], [430, 341], [435, 338], [441, 328], [445, 317], [467, 286], [473, 279], [478, 273], [483, 266], [503, 254], [509, 251]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.5,,86,2025-05-25 23:26:12,"[[33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 320], [33, 320], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 320], [33, 320], [34, 316], [38, 306], [49, 295], [60, 283], [70, 274], [82, 264], [96, 255], [103, 248], [112, 240], [125, 233], [135, 225], [147, 220], [157, 215], [167, 211], [178, 208], [199, 202], [209, 199], [219, 199], [229, 197], [240, 197], [251, 198], [260, 199], [272, 201], [281, 203], [291, 206], [302, 210], [311, 214], [321, 219], [331, 225], [341, 231], [351, 237], [360, 244], [379, 260], [391, 270], [398, 279], [406, 287], [416, 298], [429, 311], [434, 320], [452, 343], [459, 335], [465, 324], [471, 315], [477, 307], [482, 299]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,42,2025-05-25 23:26:50,"[[67, 277], [77, 267], [90, 258], [99, 250], [107, 241], [119, 233], [130, 226], [139, 220], [150, 214], [202, 195], [212, 193], [223, 191], [233, 191], [243, 190], [253, 192], [263, 193], [273, 195], [284, 197], [293, 200], [303, 204], [314, 209], [324, 214], [392, 268], [399, 278], [415, 296], [444, 331], [451, 343], [457, 338], [463, 327], [469, 317], [474, 308], [493, 286], [497, 277], [503, 272], [508, 267], [515, 262], [522, 260], [528, 257], [532, 254], [537, 251], [542, 249], [555, 246]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,150.0,3500,6.6,,67,2025-05-25 23:27:29,"[[33, 320], [33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [32, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [32, 321], [33, 321], [32, 321], [33, 321], [33, 321], [33, 321], [32, 320], [34, 315], [39, 304], [50, 292], [61, 281], [85, 262], [97, 254], [105, 247], [116, 239], [127, 232], [211, 196], [222, 196], [232, 195], [243, 196], [253, 197], [263, 199], [273, 200], [283, 203], [293, 206], [303, 211], [323, 220], [333, 226], [342, 232], [351, 240], [361, 247], [370, 254], [380, 264], [391, 275], [397, 282], [406, 290], [417, 303], [426, 313], [435, 325], [443, 339], [451, 341], [457, 331], [475, 304], [487, 288], [493, 280], [500, 273]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,110.0,3500,2.85,,68,2025-05-25 23:30:03,"[[33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 320], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [33, 321], [32, 318], [36, 309], [41, 299], [48, 289], [54, 279], [59, 273], [65, 265], [71, 257], [77, 251], [82, 245], [89, 241], [94, 237], [100, 232], [112, 226], [117, 224], [123, 223], [128, 223], [133, 223], [139, 223], [145, 224], [151, 226], [156, 229], [162, 232], [167, 236], [172, 240], [179, 244], [185, 250], [190, 256], [193, 262], [199, 270], [205, 279], [209, 287], [214, 296], [219, 305], [225, 316], [230, 326], [234, 338], [238, 343], [245, 324], [249, 314], [253, 306]]"
15,60,1000,500,dog,24.3,Medium,0.0,40.1070456,110.0,3500,2.85,,43,2025-05-25 23:30:26,"[[33, 323], [32, 322], [33, 322], [33, 323], [33, 322], [32, 322], [33, 322], [33, 322], [33, 323], [33, 322], [34, 322], [34, 322], [33, 322], [33, 322], [34, 322], [33, 322], [33, 323], [31, 323], [33, 323], [33, 323], [34, 322], [32, 319], [38, 310], [43, 298], [59, 272], [67, 264], [78, 252], [133, 223], [139, 225], [145, 227], [149, 228], [154, 232], [182, 250], [188, 257], [193, 264], [202, 276], [206, 283], [213, 295], [219, 295], [234, 320], [238, 333], [245, 342], [251, 335]]"
